compound,node_id,original_name,primary_flavor,flavor_strength,salt,fat,acid,heat,umami,sweet,bitter,aromatic
"1-(3,6-dimethylpyrazin-2-yl)ethanone",8111,"1-(3,6-dimethylpyrazin-2-yl)ethanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-isopropyl-6-methoxypyrazine,8112,2-isopropyl-6-methoxypyrazine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"azulene,_1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-,_(1s,4s,7r)-",8113,"Azulene,_1,2,3,4,5,6,7,8-octahydro-1,4-dimethyl-7-(1-methylethenyl)-,_(1S,4S,7R)-",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3695-24-7,8114,3695-24-7,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
fenchyl_acetate,8115,Fenchyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-piperitone,8116,(-)-piperitone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-lactic_acid,8117,L-Lactic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
(-)-epicatechin_gallate,8118,(-)-Epicatechin_gallate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
daidzin,8119,Daidzin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-ethyl-1-hexanethiol,8120,2-Ethyl-1-hexanethiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-terpinyl_acetate,8121,Alpha-Terpinyl_Acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
unii-r1auq945jn,8122,UNII-R1AUQ945JN,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ginkgolide_a,8123,Ginkgolide_A,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
valofin,8124,valofin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,5-dimethyl-4-ethyloxazole",8125,"2,5-Dimethyl-4-ethyloxazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
pinocarvone,8126,Pinocarvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"(1r,4r)-4-isopropyl-1-methylcyclohex-2-en-1-ol",8127,"(1r,4r)-4-isopropyl-1-methylcyclohex-2-en-1-ol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_methyl_disulfide,8128,Ethyl_methyl_disulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tiglic_acid,8129,Tiglic_Acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"1,3-diphenyl-1-butanone",8130,"1,3-Diphenyl-1-butanone",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
methanedithiol,8131,Methanedithiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-phenylethanethiol,8132,1-Phenylethanethiol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sinensetin,8134,Sinensetin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
prenylthiol,8135,Prenylthiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-(4-methoxyphenoxy)propanoic_acid,8136,2-(4-Methoxyphenoxy)propanoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lilac_aldehyde,8137,Lilac_aldehyde,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
d-camphor,8138,D-Camphor,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cedrelanol,8139,Cedrelanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ginkgolide_c,8140,Ginkgolide_C,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,4-dimethyl-5-ethylthiazole",8141,"2,4-Dimethyl-5-ethylthiazole",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9-decenal,8142,9-Decenal,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1-isothiocyanato-6-(methylthio)hexane,8143,1-Isothiocyanato-6-(methylthio)hexane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-acetyl-2-thiazoline,8144,2-Acetyl-2-thiazoline,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isopulegol,8145,Isopulegol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
sedanenolide,8146,Sedanenolide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"p-mentha-1,3,8-triene",8147,"p-Mentha-1,3,8-triene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
saupirin,8148,Saupirin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-isothiocyanatohex-1-ene,8149,6-isothiocyanatohex-1-ene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
28374-89-2,8150,28374-89-2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
berteroin,8151,Berteroin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-hydroxyoctan-4-one,8152,5-Hydroxyoctan-4-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-menthyl_acetate,8153,L-Menthyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hexyl_phenylacetate,8154,Hexyl_phenylacetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
erythritol,8155,Erythritol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
l-malic_acid,8156,L-Malic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"4-allyl-2,6-dimethoxyphenol",8157,"4-Allyl-2,6-dimethoxyphenol",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
guaiol,8158,Guaiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"4,4-dimethoxy-2-butanone",8159,"4,4-Dimethoxy-2-butanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-furylacetone,8160,2-Furylacetone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
octyl_isovalerate,8161,Octyl_isovalerate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
propyl_heptanoate,8162,Propyl_heptanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
decyl_butyrate,8163,Decyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2-phenylethyl_octanoate,8164,2-Phenylethyl_octanoate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1-(furan-2-yl)pentan-1-one,8165,1-(furan-2-yl)pentan-1-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
mls002607979,8166,MLS002607979,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
oxacyclohexadecan-2-one,8167,Oxacyclohexadecan-2-one,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5-hydroxymethylfurfural,8168,5-Hydroxymethylfurfural,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"5,7-dihydroxyflavanone",8169,"5,7-Dihydroxyflavanone",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"2,6-dimethoxy-4-methylphenol",8170,"2,6-Dimethoxy-4-methylphenol",acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cyclohexyl_butyrate,8171,Cyclohexyl_butyrate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3-octanone,8172,3-Octanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
isobornyl_acetate,8173,Isobornyl_acetate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"3,7-dimethyloctane-1,7-diol",8174,"3,7-Dimethyloctane-1,7-diol",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
benzyl_tiglate,8175,Benzyl_tiglate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-thujone,8176,alpha-Thujone,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
difurfuryl_ether,8177,Difurfuryl_ether,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_3-acetoxy-2-methylbutanoate,8178,ethyl_3-acetoxy-2-methylbutanoate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
noscapine,8179,noscapine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"carotol,_(+)-",8180,"Carotol,_(+)-",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
valencen,8181,Valencen,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
longifolene,8182,Longifolene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
.beta.-bourbonene,8183,.beta.-Bourbonene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
nomilin,8184,Nomilin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
menthofuran,8185,Menthofuran,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(-)-cis-carveol,8186,(-)-cis-Carveol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
oxycanthine,8187,Oxycanthine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
piperitenone,8188,Piperitenone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
curcumenol,8189,Curcumenol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
chebi:49249,8190,CHEBI:49249,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ethyl_crotonate,8191,Ethyl_Crotonate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
prodelphinidin_b4,8704,Prodelphinidin_B4,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ent-gallocatechin_3-gallate,8705,ent-Gallocatechin_3-gallate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
diosgenin,8706,Diosgenin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
crustecdysone,8707,Crustecdysone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
solamargine,8708,Solamargine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(s)-carvone,8709,(S)-Carvone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(s)-alpha-terpineol,8710,(S)-alpha-Terpineol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cajanol,8711,Cajanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
brassinolide,8712,Brassinolide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gibberellin_a116,8713,Gibberellin_A116,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
obacunone,8714,Obacunone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
lupeol,8715,Lupeol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
solasonine,8716,Solasonine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
sesamolin,8717,Sesamolin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
umbelliprenin,8718,Umbelliprenin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ent-epigallocatechin_3-gallate,8719,ent-Epigallocatechin_3-gallate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
theaflavin,8720,Theaflavin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
carnosic_acid,8721,Carnosic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gallocatechin_3-gallate,8722,Gallocatechin_3-gallate,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
luteolin_7-rhamnosylglucoside,8725,Luteolin_7-rhamnosylglucoside,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
genistein,8726,Genistein,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
aesculetin,8727,Aesculetin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
mangiferol,8728,Mangiferol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cajanin,8730,Cajanin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
tetramethylquercetin,8731,Tetramethylquercetin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(z)-3-butylidene-1(3h)-isobenzofuranone,8732,(Z)-3-Butylidene-1(3H)-isobenzofuranone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
cucurbitacin_i,8733,Cucurbitacin_I,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ergosterol_peroxide,8734,Ergosterol_peroxide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
acteoside,8735,Acteoside,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
demethoxycurcumin,8736,Demethoxycurcumin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
kaempferol_3-rhamnoside,8737,Kaempferol_3-rhamnoside,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-methoxyglucobrassicin,8738,4-Methoxyglucobrassicin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
(15z)-lycopene,8739,(15Z)-Lycopene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
gamma-tocotrienol,8741,gamma-Tocotrienol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
prolycopene,8742,Prolycopene,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
procyanidin_b1,8743,Procyanidin_B1,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
ferulic_acid_4-glucoside,8744,Ferulic_acid_4-glucoside,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
moracin_p,8745,Moracin_P,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
corosolic_acid,8746,Corosolic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dihydroxystearic_acid,8747,Dihydroxystearic_acid,fat,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
cuminyl_alcohol,8664,Cuminyl_alcohol,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
phloroglucinol,8665,Phloroglucinol,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gallic_acid,8666,Gallic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
epiestradiol,8667,Epiestradiol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
betulinic_acid,8668,Betulinic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cafestol,8669,Cafestol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
emodin,8670,Emodin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1h-indole-3-methanol,8671,1H-Indole-3-methanol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
xanthotoxin,8672,Xanthotoxin,heat,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
progesterone,8674,Progesterone,aromatic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
psoralen,8675,Psoralen,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
n-methylbenzylamine,8678,N-Methylbenzylamine,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
plumbagin,8679,Plumbagin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
angelicin,8680,Angelicin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"1,2,4-trihydroxybenzene",8682,"1,2,4-Trihydroxybenzene",salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-isopropylbenzoic_acid,8683,4-Isopropylbenzoic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
[8]-shogaol,8684,[8]-Shogaol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4-octanone,8685,4-Octanone,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
di-2-propenyl_sulfide,8686,Di-2-propenyl_sulfide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
eicosan-1-ol,8687,Eicosan-1-ol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
hentriacosane,8688,Hentriacosane,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
indole-beta-carboxylic_acid,8691,Indole-beta-carboxylic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hydroxytyrosol,8693,Hydroxytyrosol,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
alpha-santalene,8694,alpha-Santalene,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4-chloro-1h-indole-3-acetic_acid,8695,4-Chloro-1H-indole-3-acetic_acid,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dihydrocapsaicin,8696,Dihydrocapsaicin,heat,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(s)-alpha-terpinyl_acetate,8697,(S)-alpha-Terpinyl_acetate,acid,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brassinin,8698,Brassinin,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
procyanidin_b2,8699,Procyanidin_B2,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
procyanidin_c,8700,Procyanidin_C,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
6-keto-28-homobrassinolide,8701,6-Keto-28-homobrassinolide,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
anthocyanidins,8702,Anthocyanidins,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
procyanidin_b3,8703,Procyanidin_B3,salt,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
